Bike,Stars,Title,Review,Time,Design and styling,Reliability,Comfort,Service experience,Value for money,Used it for,Ridden for,Ridden for if owned,Owned for,Tips for other riders,Review was useful,Review was not useful
Bajaj Pulsar N160,5,Bajaj Pulsar The Riders  Choice,"My experience with the Bajaj Pulsar N160 has been nothing short of exhilarating. The motorcycle's 160cc engine serves up ample power, making even the longest journeys appear short. The comfortable seating, intelligently designed to reduce strain, significantly amplifies the joy of owning this bike. The stylish, masculine graphics complement the overall look, turning heads wherever I go. The incorporation of ABS assures safety and instills confidence during high-speed cruising. Kudos to Bajaj for a solid and reliable model. This is one of the best products from Bajaj ever with the Bajaj Pulsar 150 they both ruled on top of the two-wheeler.",30 weeks ago,5,5,4,5,4,Everything,< 5000 kms,0-5000 kms,< 3 months,"Change engine oil every 3,000 km, Clean and replace air filter as per the recommend intervals,  maintain chain regularly, maintain idling speed of 1400 to 1500 RPM.",10,1
Bajaj Pulsar N160,5,Can buy satisfied with riding experience,The buying experience was good at raiganj showroom. The bike is very much controllable. But the engine oil leaked from the date of purchase. I went to my nearby showroom for repair but still leaking engine oil. The engine guard should be there instead of the engine cowl. My overall experience is good riding this bike with a pillion also. But why does engine oil leak from the upper side of the engine?,1 year ago,5,5,5,4,4,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,No Tips,17,9
Bajaj Pulsar N160,4,Pulsar king,I have the best experience riding the pulsar n160. I enjoyed it. I like the features too. Massive performer. Go and enjoy yourself by booking it as fast as possible. I can say you must feel the best experience through the ride on the pulsar n160. Black will give you a better appearance and style. Do compare the prices in various showrooms. May they try to cheat.,1 year ago,5,4,4,4,3,Everything,< 5000 kms,0-5000 kms,< 3 months,No Tips,16,8
Bajaj Pulsar N160,3,2yrs of Pulsar N160 clear user Experience,"Best buying experience, in fact, I purchased this bike at the time of launch. Really impressed with this bike's look, seating and headlight. Duel channel ABS breaking system is the best part of this price range. Mono suspension is also really impressive. Pickup is ok but not up to the mark. The exhaust note is good with underbelly exhaust. Really impressed with the mileage of the bike. 50-55 kmpl. One of the best mileage 160CC bike.Bajaj Service is good and maintenance is also ok. Pros: Body Look, Seating, Breaking system, Suspension, Headlight and Mileage Cons: Pickup is not good and top speed is also definitely not satisfactory.",14 weeks ago,4,3,3,3,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,"Service regularly as per the company’s guidelines. 
Petrol Tank will easily absorb scratch so little more conscious about this.",12,4
Bajaj Pulsar N160,5,Go for it.,This is a great bike. Comfort is awesome while riding. Build quality is superb and dual channel abs make this bike stand out in the 160 cc category. I am getting 46 to 50kmpl mileage with 50 to 80kmph speed.The only thing that I didn't like about this bike is its chain sound but it can solve in the service center. But I think it is not a big issue.,1 year ago,5,5,5,5,4,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,Service on time and ride under 5k rpm to get the best mileage.,11,3
Bajaj Pulsar N160,5,N160 review pros & cons,"This is the superb bike in 160cc segment in the market it has a great muscular, Naked design with dual channel abs And with a great average mileage of 45 -46 km per liter due to its weight of 154 kg when you are driving in national highways or four-lane roads you feel the bike real performance. I am very satisfied with the bike #n160",20 weeks ago,5,5,5,5,5,Daily Commute,< 5000 kms,0-5000 kms,3-6 months,Change oil after 2000 to 3000 thousand kilometres after every 600-700 km clean your chain and spray with chain lube for soft and reliable performance...,10,3
Bajaj Pulsar N160,5,Pulsar n160 blue review and pics.,"The real price for the top variant is near 1.58 lakh. The bike is very easy to ride, and the weight is very well balanced at the center of mass, so in spite of 155 kg, the bike seems very less weight. The look is very very sexy, the performance is very smooth, and the maintenance of the chain is needed from time to time. The turning radius is large and the rear brake is slow in spite of disc brakes.",1 year ago,5,5,5,4,5,Everything,< 5000 kms,0-5000 kms,< 3 months,"Use the chain spray for better life time of chain and chain cranks. Until the first service the engine will heat more, so don't worry about that.",9,2
Bajaj Pulsar N160,5,Best bike,"This is the best bike in this particular segment. If you are 5'2"" you can easily ride this. No doubt this is heavy but while riding this gives perfect balance. Breaking is awesome. This is a 2v machine so don't compare it to rtr 4v in speeding. Overall this is a nice machine to daily ride. Fully happy to purchase.",1 year ago,5,4,5,4,4,Daily Commute,< 5000 kms,0-5000 kms,6 months-1 yr,No Tips,16,10
Bajaj Pulsar N160,5,Problems in N160 ?,"The best bike in the segment, with the best looks, top speeds, 40+ mileage in the city, no vibration even at 70kmph, the in-hand feel of the bike is unmatched, it best exhaust note, good for highway/city rides. Bright headlight.Cons: The seat is uncomfortable for bumpy roads (need to install aftermarket seat padding ), chain noise issue as observed in every bajaj (need to use Chain lube), high turning radius.",4 weeks ago,5,5,4,4,5,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,"Make sure to check the ECU, self start the motor before 1 yr. I've faced issues  & got them replaced under warranty, need to lube for every 500km to avoid chain noise.",8,2
Bajaj Pulsar N160,4,Sporty monster,"I would like to express my feelings towards you guys, I belong to a middle-class family so you can understand, that a sport bike is too much costly for us. I've collected approx 25k and 25k my father gives me a total we give 50k down payment to the bajaj and the rest EMI. Their EMI and loans service is too good you can easily get them. The riding experience is very outstanding when you have a monster look sporty bike your class is high. And the main fact about the service centre is they are cool as you can never feel like you're away from home their service is good at an affordable cost.I highly recommend you all buy this monster n160 if you love to chase. Thank you.",1 year ago,5,5,5,5,5,Daily Commute,< 5000 kms,0-5000 kms,< 3 months,Change engine oil after every 500km.,10,5
Bajaj Pulsar N160,4,Budget All Rounder,"I purchased this bike in Dec 2022 end and drove 4000 Km. I have faced no issues to date 13 July 2023.Pros:1. You get dual channel abs and its breaking performance is 10/102. Average getting around 53 to 60 (mixed condition)3. Headlamp night visibility is 10/10 (specifically on ghat road you can experience amazing throw plus spread)4. Awesome pickup compare to its 160cc motor engine(Getting side stand cutoff, gear indicator, DTE, USB charging)Cons1. Little bit heavier side 2. After 2-3000 km you hear a chain knocking sound  only when the bike goes through bumpy roads3. Tyre size could be a little big and radial for better road grip. 4. No LED side indicators.These 4 point is not major cons though but if they work this it improve user experience and ride quality for sure.",1 year ago,5,4,3,5,5,Daily Commute,< 5000 kms,0-5000 kms,6 months-1 yr,1st servicing get an expensive side of almost 2k and 2nd goes for around 1k.,10,5
Bajaj Pulsar N160,5,Perfect bike,"The top end is a bit low compared to Apache 160 4V. It is great for daily commutes and weekend rides. The bike comes within budget with great mileage and power. Let’s talk about appearance, there’s nothing to prove much as it has an aggressive headlamp with a slim yet reliable body. Last to say, it’s the perfect bike.",1 year ago,5,5,5,4,4,Everything,5000-10000 kms,5000-15000 kms,> 1 yr,No Tips,10,5
Bajaj Pulsar N160,4,SAGAr25T,"1. Good buy, but priced a little high compared to what you get. The Bajaj service network is great in India.2. A smooth and refined engine offers good power and fuel efficiency. Good for commuting, but not the best. Best Brakes with Dual channel ABS in its category, you can use brakes with confidence even when raining heavily. They made this bike for commuting, but the posture is sporty, the handle bar should have been straight (180°), perimeter missing at this price point. Yes, there is a very big difference between handling in a Primeter or Trellis frame Vs. Tubular frame.3. The bike looks Good & Fresh & Fantastic. Performance is decent, but a 4v engine is missing for this price (then why N150 or P150).4. As Bajaj, servicing & maintenance are affordable to anyone.5. Pros: 1. Good mileage (<45 kmpl). 2. Good engine for very less vibrations. 3. Super lite clutch. 4. Great brakes in its category. 5. Dual Channel ABS6. Cons: 1. Heavy bike. 2. Bluetooth & Navigation missing. 3. 4 valve engine missing.",24 weeks ago,4,3,3,4,4,Daily Commute,> 15000 kms,15000+ kms,> 1 yr,Don't buy this bike for performance & become a chappri. It is a decent commuting bike with a little sporty posture. I am enjoying more than a year of 50 kms of daily commuting.,7,2
